cluster_name	n_overlapping_peaks	morula_acc_mean	morula_acc_max	morula_acc_sum	cell8_acc_mean	cell8_acc_max	morula_minus_8cell_mean	morula_minus_8cell_max	basin_residual_rank	module_id	latent_residual_delta_beta	abs_latent_residual_delta_beta	signed_latent_residual_direction	chr	start	end	width	n_cpg_target
cluster_6442	9	0.3996295670000001	1.302369181	3.5966661030000004	0.5203003905555555	1.576236012	-0.12067082355555556	0.840529761	93	M02	-0.013198134685181622	0.013198134685181622	-1.0	chr6	54172183	54172378	196	2
cluster_6495	15	0.1908751656	1.302369181	2.863127484	0.7099012865333333	1.808531776	-0.5190261209333333	0.840529761	23	M09	0.07461082849874705	0.07461082849874705	1.0	chr6	130182053	130182551	499	6
cluster_6498	15	0.1908751656	1.302369181	2.863127484	0.7099012865333333	1.808531776	-0.5190261209333333	0.840529761	10	M12	0.12336847335978415	0.12336847335978415	1.0	chr6	132931714	132931736	23	2
cluster_6518	15	0.1908751656	1.302369181	2.863127484	0.7099012865333333	1.808531776	-0.5190261209333333	0.840529761	59	M04	0.024956902722702987	0.024956902722702987	1.0	chr6	143929300	143929511	212	3
cluster_6532	16	0.2810479545000001	1.6336397880000002	4.4967672720000005	0.7564254166250001	1.808531776	-0.475377462125	0.840529761	41	M09	0.043380022403272996	0.043380022403272996	1.0	chr6	152702330	152702463	134	5
cluster_6604	16	0.2810479545000001	1.6336397880000002	4.4967672720000005	0.7564254166250001	1.808531776	-0.475377462125	0.840529761	44	M03	0.04068701600287178	0.04068701600287178	1.0	chr6	167173257	167173343	87	2
cluster_6651	17	0.2759873700588236	1.6336397880000002	4.691785291	0.6766300351176471	1.808531776	-0.4006426650588235	0.840529761	19	M01	-0.07784538965855077	0.07784538965855077	-1.0	chr6	168867541	168867685	145	3
cluster_6655	17	0.2759873700588236	1.6336397880000002	4.691785291	0.6766300351176471	1.808531776	-0.4006426650588235	0.840529761	14	M01	-0.10061235696372343	0.10061235696372343	-1.0	chr6	168963358	168963731	374	3
cluster_6871	1	1.056105408	1.056105408	1.056105408	-0.7312770559999999	-0.7312770559999999	1.787382464	1.787382464	128	M02	0.006441220815951875	0.006441220815951875	1.0	chr7	27225772	27226329	558	7
cluster_6892	1	1.056105408	1.056105408	1.056105408	-0.7312770559999999	-0.7312770559999999	1.787382464	1.787382464	3	M05	-0.1797887109823562	0.1797887109823562	-1.0	chr7	37947051	37947061	11	2
cluster_6960	3	1.6387179753333332	2.3353779	4.916153926	0.13909698566666664	1.138795447	1.4996209896666668	2.666588275	12	M01	-0.11508728696770935	0.11508728696770935	-1.0	chr7	76828885	76829845	961	3
cluster_6975	5	1.34243392	2.3353779	6.7121696	-0.23910084199999998	1.138795447	1.581534762	2.666588275	36	M03	-0.04996564627518983	0.04996564627518983	-1.0	chr7	94927713	94928249	537	2
cluster_7000	10	0.9356224585999998	2.3353779	9.356224586	0.1644166312	2.176879804	0.7712058274	2.666588275	142	M02	0.0038976825557504686	0.0038976825557504686	1.0	chr7	100077221	100077394	174	2
cluster_7042	11	0.9119015956363635	2.3353779	10.030917552	0.13075499772727273	2.176879804	0.7811465979090909	2.666588275	8	M05	-0.12979276926158487	0.12979276926158487	-1.0	chr7	108168130	108168721	592	3
cluster_7052	11	0.9119015956363635	2.3353779	10.030917552	0.13075499772727273	2.176879804	0.7811465979090909	2.666588275	104	M08	-0.010730532250050504	0.010730532250050504	-1.0	chr7	121651766	121652024	259	4
cluster_7072	11	0.9119015956363635	2.3353779	10.030917552	0.13075499772727273	2.176879804	0.7811465979090909	2.666588275	24	M01	-0.07313538531657726	0.07313538531657726	-1.0	chr7	132435910	132436239	330	2
cluster_7095	13	0.7327324244615383	2.3353779	9.525521518	0.051630560153846136	2.176879804	0.6811018643076923	2.666588275	101	M06	0.011326551648274024	0.011326551648274024	1.0	chr7	140218068	140218338	271	3
cluster_7341	0								122	M03	0.007242376902662567	0.007242376902662567	1.0	chr8	1563040	1563113	74	2
cluster_7425	1	0.33573697	0.33573697	0.33573697	-0.459117725	-0.459117725	0.7948546949999999	0.7948546949999999	61	M01	0.02389330799416733	0.02389330799416733	1.0	chr8	19460935	19461068	134	2
cluster_7504	6	-0.07645641433333332	0.640024036	-0.4587384859999999	-0.25333507166666663	1.885766387	0.17687865733333333	1.741793823	138	M00	0.004487800132003807	0.004487800132003807	1.0	chr8	53080905	53081140	236	2
cluster_7612	10	0.03081375180000001	1.471174505	0.3081375180000001	-0.07447457629999996	2.101664692	0.10528832809999993	2.718495783	146	M04	-0.002472216708342139	0.002472216708342139	-1.0	chr8	143202730	143203654	925	5
cluster_7683	1	-0.7102907340000001	-0.7102907340000001	-0.7102907340000001	0.259227259	0.259227259	-0.9695179930000001	-0.9695179930000001	99	M06	-0.011594583301013851	0.011594583301013851	-1.0	chr9	34628025	34628238	214	2
