cluster_name	latent_residual_delta_beta	observed_minus_strict_pred_delta_beta	strict_model_delta_beta_8cell_to_morula	abs_latent_residual_delta_beta	signed_latent_residual_direction	PC_loading_norm	PC1_loading	residual_contribution_PC1	PC2_loading	residual_contribution_PC2	PC3_loading	residual_contribution_PC3	residual_alignment_score	abs_residual_alignment_score	module_id	module_index	region_type	control_set	matched_age_cluster	chr	start	end	width	n_cpg_target	age_weight_5yr	basin_residual_rank	width_bin	cpg_bin	overlap_GSE101571_8cell_2pn	overlap_GSE101571_8cell_3pn	overlap_GSE101571_icm_2pn	overlap_GSE101571_icm_3pn
cluster_6171	0.0212502803673657	-0.0588681342989904	-0.0591537969413314	0.0212502803673657	1.0	0.1209063340962468	-0.0478672917522307	0.0378825806021564	0.1090270744355742	-0.0036903974179187	-0.0209800153698667	0.0402293733513286	-0.0012509643585572	0.0012509643585572	M04	4	age_DMR	age_DMR	cluster_6171	chr6	29555799	29556229	430	4	0.026677932	70	3	3	False	False	False	False
cluster_2324	0.0206743665662644	-0.071256816572179	-0.0156669132927272	0.0206743665662644	1.0	0.1634832420426189	0.1134529060223376	-0.0897875918944129	0.0592756299618893	-0.0020063881644932	-0.1016936981158288	0.1949986059044988	-0.0014731895461582	0.0014731895461582	M14	14	age_DMR	age_DMR	cluster_2324	chr13	114865944	114866221	277	2	-0.070097421	71	3	0	True	True	False	False
cluster_2126	0.020437472066274	-0.0147181256373772	0.0110144219336735	0.020437472066274	1.0	0.2415951965977331	0.0339325667823195	-0.0268545210960127	0.1907495161993428	-0.0064565753570438	-0.1443310153791533	0.2767560557750526	-0.0003008012815818	0.0003008012815818	M02	2	age_DMR	age_DMR	cluster_2126	chr13	22058122	22058128	6	2	0.054376277	72	0	1	False	False	False	False
cluster_3133	-0.0204314138955557	0.0420105639459842	0.0186790220907884	0.0204314138955557	-1.0	0.1391132895391497	0.1381082363952787	-0.1093000294260852	-0.0093854154859052	0.0003176817616595	-0.0138034902233477	0.026468320063485	-0.0008583352199661	0.0008583352199661	M14	14	age_DMR	age_DMR	cluster_3133	chr16	88717755	88717989	234	3	-0.018315712	73	2	2	False	False	True	False
cluster_915	-0.0199935342096491	0.1171345454223852	0.0023265884675635	0.0199935342096491	-1.0	0.0997655939812602	0.0933318800729498	-0.0738636413339502	0.035086657872732	-0.0011876289654405	-0.0033556435752377	0.0064344775655464	-0.0023419335410341	0.0023419335410341	M07	7	age_DMR	age_DMR	cluster_915	chr10	74714308	74714935	627	4	0.034264481	74	4	3	False	False	False	False
cluster_4920	0.0196173272824462	0.0175429680327021	0.0362538915404731	0.0196173272824462	1.0	0.1055918022867045	-0.0086237285977675	0.0068248919405561	0.0966606719183195	-0.0032718138674119	-0.0416169979638795	0.0798009781849374	0.000344146145403	0.000344146145403	M13	13	age_DMR	age_DMR	cluster_4920	chr21	39627271	39628679	1408	5	0.027287077	75	4	3	False	False	False	False
cluster_4084	-0.0195509484423129	-0.0480538567461459	0.0185634883935674	0.0195509484423129	-1.0	0.1076371613956527	0.0135946368233832	-0.0107589108630709	0.1016960871850331	-0.0034422548665364	0.0325399787063275	-0.0623957098764244	0.0009394984756981	0.0009394984756981	M04	4	age_DMR	age_DMR	cluster_4084	chr19	47745212	47745582	370	2	-0.019523443	76	3	1	True	False	False	False
cluster_634	0.0191270264069371	-0.0561990122215093	0.022865678888176	0.0191270264069371	1.0	0.1058053073990614	-0.0168936756639613	0.0133697981769958	0.0922222889032789	-0.0031215814842792	-0.0490348470560571	0.0940247723686937	-0.0010749199908045	0.0010749199908045	M13	13	age_DMR	age_DMR	cluster_634	chr1	234293071	234293143	72	3	0.102996079	77	0	2	False	False	False	False
cluster_4449	0.0189100674522665	-0.0296475395408417	0.0074253173186195	0.0189100674522665	1.0	0.1111132180527496	0.0066882564570725	-0.0052931428758163	0.0748134490335948	-0.0025323192479343	-0.0818801703423975	0.1570059832990299	-0.000560636972511	0.000560636972511	M13	13	age_DMR	age_DMR	cluster_4449	chr2	102607750	102607752	2	2	0.013610554	78	0	1	False	False	False	False
cluster_3227	0.0182982290311602	-0.097470221738298	-0.0375209599195503	0.0182982290311602	1.0	0.1061017353666694	0.0023613177803338	-0.0018687669150748	0.0978262402501779	-0.0033112665481755	-0.0410125486244576	0.078641940990785	-0.0017835324410853	0.0017835324410853	M00	0	age_DMR	age_DMR	cluster_3227	chr17	4486580	4486934	354	2	-0.024409725	79	3	1	False	False	False	False
cluster_483	-0.0182694894255372	-0.0794555491234829	0.0498259194938532	0.0182694894255372	-1.0	0.1416884824362777	0.0916580805014934	-0.0725389821594608	0.1079926127122822	-0.003655382492568	-0.0034666891196261	0.0066474084231004	0.0014516123145117	0.0014516123145117	M11	11	age_DMR	age_DMR	cluster_483	chr1	158670124	158670617	493	3	0.025181528	80	3	2	False	False	False	False
cluster_1586	0.0172386176409699	-0.0272110666395764	0.019803659232169	0.0172386176409699	1.0	0.1840290420808987	-0.0007775824840372	0.0006153853716822	0.1599176575476104	-0.0054129647479631	-0.0910627613197563	0.1746136863558772	-0.0004690811734026	0.0004690811734026	M00	0	age_DMR	age_DMR	cluster_1586	chr11	117688335	117688338	3	2	-0.025152623	81	0	1	True	True	True	False
cluster_2004	0.0160837424277074	-0.0424892440431559	0.0390681306220425	0.0160837424277074	1.0	0.1387967294705295	0.0679189614648772	-0.0537516420487287	0.0853148908113624	-0.0028877767691209	-0.0858656869249479	0.1646482481768534	-0.0006833860571381	0.0006833860571381	M11	11	age_DMR	age_DMR	cluster_2004	chr12	124763658	124763800	142	2	0.054339939	82	1	1	False	False	False	False
cluster_5020	-0.0153864516463316	-0.0241195016662283	0.0023361923829191	0.0153864516463316	-1.0	0.0434738808730291	0.019065781642093	-0.0150888212673123	-0.0072598709599814	0.000245735375216	0.038389693436947	-0.0736125919305177	0.000371113546121	0.000371113546121	M00	0	age_DMR	age_DMR	cluster_5020	chr22	31518860	31518963	103	3	-0.027558478	83	1	2	False	False	False	False
cluster_4889	-0.0150375801511645	0.1775516334381394	-0.0436073224051669	0.0150375801511645	-1.0	0.1937077391071132	0.1848926890717065	-0.1463256420012934	-0.0165824728294011	0.0005612909933531	-0.0553389854685182	0.1061130160321185	-0.0026699469187962	0.0026699469187962	M01	1	age_DMR	age_DMR	cluster_4889	chr20	62574023	62574518	495	6	-0.019214397	84	3	3	True	True	False	False
cluster_5516	0.0145793093893729	-0.0936366504318983	0.034377391172639	0.0145793093893729	1.0	0.2192784421505988	0.1935380475386826	-0.1531676520037601	-0.0334509735594576	0.0011322635876434	-0.0975043163907763	0.1869654277319778	-0.0013651576968312	0.0013651576968312	M07	7	age_DMR	age_DMR	cluster_5516	chr4	15341641	15341878	237	2	0.020991971	85	2	1	False	False	False	False
cluster_3766	0.0144981483232047	0.1794102994003202	0.0219028754422664	0.0144981483232047	1.0	0.1375271094493389	0.1104279390445095	-0.0873936073767679	0.0190888311590777	-0.0006461273365834	-0.0797182076871575	0.1528603999285714	0.0026011171314164	0.0026011171314164	M14	14	age_DMR	age_DMR	cluster_3766	chr19	1065688	1065728	40	3	-0.026841848	86	0	2	False	True	False	False
cluster_5599	0.014392782084662	0.0210821074615392	0.0203192832932997	0.014392782084662	1.0	0.1408112194787596	0.0069477238484375	-0.0054984875695979	0.1338325354152802	-0.0045300238100209	-0.0432247744787527	0.0828839045099216	0.0003034301785793	0.0003034301785793	M06	6	age_DMR	age_DMR	cluster_5599	chr4	106472990	106473806	816	4	0.044142923	87	4	3	False	False	True	False
cluster_3967	0.013740044568184	-0.0546150304564265	-0.0074167340221187	0.013740044568184	1.0	0.0924618827136825	-0.0231310892150737	0.0183061401539365	0.0714730029960355	-0.0024192503290853	-0.0539051232204489	0.1033635719209	-0.000750412952564	0.000750412952564	M06	6	age_DMR	age_DMR	cluster_3967	chr19	18284120	18284450	330	6	-0.027666536	88	3	3	True	True	True	False
cluster_4897	-0.0136649263686845	-0.0312208369137982	0.0256652813582427	0.0136649263686845	-1.0	0.0583807110939523	-0.0026007377253658	0.0020582458898282	0.0414252359653591	-0.0014021800056056	0.0410547611895832	-0.0787228839745061	0.0004266304375957	0.0004266304375957	M06	6	age_DMR	age_DMR	cluster_4897	chr21	17961737	17962124	387	4	0.054251055	89	3	3	False	False	False	False
cluster_126	-0.0135635274944179	-0.0547184325086307	0.0344529745691759	0.0135635274944179	-1.0	0.1051100853268742	-0.0233442456408907	0.0184748339568713	0.0918455002722962	-0.0031088277733493	0.0454706533119127	-0.0871903979270239	0.0007421749637822	0.0007421749637822	M06	6	age_DMR	age_DMR	cluster_126	chr1	6546027	6546646	619	4	-0.021650446	90	4	3	False	True	False	False
cluster_1126	-0.0135334574224416	-0.0831335055574804	-0.0240104572908167	0.0135334574224416	-1.0	0.0441825100126124	0.0250655592875627	-0.0198370961734006	0.0321853738004005	-0.0010894249981726	0.0169680182091122	-0.0325363317200874	0.0011250837578404	0.0011250837578404	M00	0	age_DMR	age_DMR	cluster_1126	chr10	134661502	134661640	138	3	-0.033032012	91	1	2	False	False	False	False
cluster_5760	0.0134841343385623	0.0927221697976871	0.0253670503282919	0.0134841343385623	1.0	0.0865651454336198	-0.0302417887872361	0.0239336080933067	0.0749372387145502	-0.0025365093366928	-0.031038184043698	0.0595160047325126	0.001250278193715	0.001250278193715	M06	6	age_DMR	age_DMR	cluster_5760	chr5	1855899	1856713	814	6	-0.024623956	92	4	3	False	False	False	False
cluster_6442	-0.0131981346851816	-0.0152999629917547	0.0152999629917547	0.0131981346851816	-1.0	0.0595546339956475	-0.014096456587654	0.011156055279892	-0.0020779751321666	7.03362362234035e-05	0.0578249631333909	-0.1108799011778211	0.0002019309722434	0.0002019309722434	M02	2	age_DMR	age_DMR	cluster_6442	chr6	54172183	54172378	195	2	0.024665217	93	2	1	False	False	False	False
cluster_1007	0.0125476901199886	-0.0595462343741525	-0.0065913317634135	0.0125476901199886	1.0	0.078679341278468	0.0040234874143857	-0.0031842220584816	0.066161909976716	-0.0022394780654866	-0.0423892906436618	0.0812818565352977	-0.000747167696739	0.000747167696739	M00	0	age_DMR	age_DMR	cluster_1007	chr10	116444240	116444463	223	3	0.020471085	94	2	2	False	False	False	False
cluster_618	0.0124576729934927	-0.0238439798441902	0.001621757621968	0.0124576729934927	1.0	0.0686782034723415	0.0162202234571881	-0.0128368223897539	0.0274166957509312	-0.0009280126402629	-0.0608434448177294	0.1166678677018024	-0.0002970405037623	0.0002970405037623	M02	2	age_DMR	age_DMR	cluster_618	chr1	228604953	228605010	57	2	-0.028772272	95	0	1	False	False	False	False
cluster_4538	-0.0121196315524591	0.3490007045059282	-0.3490007045059282	0.0121196315524591	-1.0	0.1461002903710595	0.1269164247302948	-0.1004427347690682	0.0619507186548227	-0.0020969357688953	-0.0374115548773145	0.0717370022032905	-0.0042297599501605	0.0042297599501605	M01	1	age_DMR	age_DMR	cluster_4538	chr2	167168604	167168852	248	2	0.027143405	96	2	1	False	False	False	False
cluster_3928	-0.0120497501188807	0.0219437781661841	-0.0803955557619787	0.0120497501188807	-1.0	0.1875825159740964	0.1780390655874659	-0.1409016262578817	-0.0173067309647458	0.0005858060082374	-0.0564780354405856	0.108297154879697	-0.0002644170435666	0.0002644170435666	M01	1	age_DMR	age_DMR	cluster_3928	chr19	13214412	13215041	629	2	-0.036694162	97	4	1	True	False	False	False
cluster_1607	0.0117056333091945	0.3821304215358719	0.0881745893573742	0.0117056333091945	1.0	0.0964735559077453	-0.0255207359957744	0.0201973268801285	0.0917856232534496	-0.0031068010291036	-0.0152065245107039	0.0291586512751503	0.0044730785907868	0.0044730785907868	M06	6	age_DMR	age_DMR	cluster_1607	chr11	122756770	122756965	195	3	0.023808391	98	2	2	False	False	False	False
cluster_7683	-0.0115945833010138	-0.0789041800320725	0.0118844532084241	0.0115945833010138	-1.0	0.0910058651213196	-0.0020889898273118	0.0016532442637416	0.0854075573913253	-0.0028909133891687	0.0313568612655776	-0.0601270712504128	0.00091486108818	0.00091486108818	M06	6	age_DMR	age_DMR	cluster_7683	chr9	34628025	34628238	213	2	-0.027870513	99	2	1	False	False	False	False
cluster_6020	-0.0114444631483763	-0.037282571694636	0.0230449574570218	0.0114444631483763	-1.0	0.0948316946661007	0.0170477475665272	-0.0134917319871995	0.0882175172329144	-0.0029860261728285	0.0303330557216539	-0.0581639146587917	0.0004266790178359	0.0004266790178359	M06	6	age_DMR	age_DMR	cluster_6020	chr5	172662724	172663219	495	4	-0.038638364	100	3	3	False	False	False	False
cluster_7095	0.011326551648274	0.2044224356077055	0.0477118375265676	0.011326551648274	1.0	0.1276235245303617	-0.0252311575415932	0.0199681520358955	0.1220213544232863	-0.0041302336472464	-0.027603292690726	0.0529295688208196	0.0023154012749766	0.0023154012749766	M06	6	age_DMR	age_DMR	cluster_7095	chr7	140218068	140218338	270	3	-0.064702969	101	2	2	True	True	True	True
cluster_293	-0.0113203313595498	-0.0220375205419728	0.0045772030816554	0.0113203313595498	-1.0	0.0493941363148594	0.0318079854324915	-0.0251731093995395	0.0288602185641994	-0.0009768736492404	0.024395092732842	-0.0467778157540985	0.000249472034878	0.000249472034878	M00	0	age_DMR	age_DMR	cluster_293	chr1	47901555	47902085	530	4	-0.033578283	102	4	3	True	True	False	False
cluster_23	0.0109137307456697	-0.039066748785033	0.0241672828551782	0.0109137307456697	1.0	0.1691940797353163	0.0169065171756626	-0.0133799610582509	0.1606398647441114	-0.0054374103417477	-0.0503551402486695	0.0965564467665641	-0.0004263639773485	0.0004263639773485	M06	6	age_DMR	age_DMR	cluster_23	chr1	1135492	1135955	463	2	-0.023801903	103	3	1	False	False	False	False
cluster_7052	-0.0107305322500505	0.0383876064426559	0.0059510178959683	0.0107305322500505	-1.0	0.1882725188742414	-0.0700054572339578	0.0554029124936369	0.1683693060035542	-0.0056990399435092	0.0468780771427071	-0.0898891461287963	-0.0004119194489351	0.0004119194489351	M08	8	age_DMR	age_DMR	cluster_7052	chr7	121651766	121652024	258	4	0.031851411	104	2	3	False	False	False	False
cluster_4551	0.0105117013064552	-0.0328868495863773	0.0254794421789698	0.0105117013064552	1.0	0.1018160422898073	0.0260222949512507	-0.0205942648906579	0.0881037300025568	-0.0029821746515135	-0.043898512419745	0.0841758032378921	-0.0003456967397623	0.0003456967397623	M00	0	age_DMR	age_DMR	cluster_4551	chr2	176983285	176983519	234	2	-0.053087412	105	2	1	False	False	False	False
cluster_5656	0.0102486990911319	-0.0838295401876204	0.0219185535707514	0.0102486990911319	1.0	0.1472447724183603	0.0793717825179292	-0.0628155017487941	0.1099032309974588	-0.0037200539590156	-0.0574667117623799	0.1101929508632505	-0.0008591437323308	0.0008591437323308	M14	14	age_DMR	age_DMR	cluster_5656	chr4	174457944	174458502	558	2	-0.038815357	106	4	1	False	False	False	False
cluster_3123	0.0100925810247043	-0.0830167113401235	-0.1069760908617062	0.0100925810247043	1.0	0.1507506939540216	0.131672537474753	-0.1042067627263525	-0.0231218950724492	0.0007826402965914	-0.0696670120705453	0.1335871394490442	-0.0008378528856046	0.0008378528856046	M01	1	age_DMR	age_DMR	cluster_3123	chr16	88165722	88165938	216	2	0.029691182	107	2	1	False	False	False	False
cluster_4064	-0.0098634878555215	-0.045131758085947	0.0050925256776096	0.0098634878555215	-1.0	0.0439243584074117	0.0354671474636374	-0.0280690012602854	-0.0180488929829573	0.000610927041796	0.018592153570394	-0.0356506262842345	0.000445156547779	0.000445156547779	M06	6	age_DMR	age_DMR	cluster_4064	chr19	46170946	46171507	561	5	-0.017083166	108	4	3	True	True	False	False
cluster_1257	-0.0096917226454566	-0.0167627299179675	0.0046415177967554	0.0096917226454566	-1.0	0.0820741901654933	-0.0039345785237348	0.0031138588084828	0.0671766265793566	-0.0022738246491191	0.0469892820181346	-0.0901023825050903	0.0001624597291456	0.0001624597291456	M02	2	age_DMR	age_DMR	cluster_1257	chr11	2909690	2909715	25	3	-0.042734524	109	0	2	True	True	False	False
cluster_5659	0.0094636497262664	-0.0901508636583852	0.0234841969917186	0.0094636497262664	1.0	0.1920422364795748	0.1713338356615768	-0.1355950504349108	-0.0201105103836432	0.0006807095941722	-0.0843830831486862	0.1618053417348978	-0.0008531561961833	0.0008531561961833	M07	7	age_DMR	age_DMR	cluster_5659	chr4	175752696	175752781	85	2	0.069857776	110	1	1	False	False	False	False
cluster_2727	0.0090489299184929	-0.0143146802410048	0.0132035691298937	0.0090489299184929	1.0	0.1902058771852329	0.0412800687862352	-0.0326693964879315	0.1672464016632497	-0.0056610313727071	-0.080640391662631	0.1546286962235886	-0.0001295325383064	0.0001295325383064	M02	2	age_DMR	age_DMR	cluster_2727	chr15	91447374	91447749	375	3	-0.016253451	111	3	2	False	False	False	False
cluster_4593	-0.0089748354245758	-0.0789599793719375	0.0242816167988381	0.0089748354245758	-1.0	0.0823708900650889	-0.0432008570706871	0.034189524624323	0.05675351633916	-0.0019210185290224	0.0412030079194919	-0.0790071484490774	0.000708652819991	0.000708652819991	M06	6	age_DMR	age_DMR	cluster_4593	chr2	219860379	219860717	338	2	-0.042572963	112	3	1	True	True	True	False
cluster_5447	0.0086766287176006	-0.0146102871489035	0.0103774829160993	0.0086766287176006	1.0	0.1102227759586651	0.0492725354720944	-0.0389947023983709	0.0840300796581176	-0.0028442879037451	-0.0515773525962285	0.0989000502376643	-0.0001267680370485	0.0001267680370485	M02	2	age_DMR	age_DMR	cluster_5447	chr4	1794043	1794084	41	2	-0.034925917	113	0	1	False	False	False	False
cluster_5608	0.0086324813042938	-0.074320661521031	0.0102897493201842	0.0086324813042938	1.0	0.1264308742325709	0.0118069678810916	-0.0093441345029026	0.1223835296754715	-0.0041424927179627	-0.0294556129258929	0.0564814099893336	-0.000641571721103	0.000641571721103	M00	0	age_DMR	age_DMR	cluster_5608	chr4	114213574	114214449	875	7	0.05939623	114	4	3	False	False	False	False
cluster_5336	0.0085940936800676	-0.078926142108664	-0.0044071912246692	0.0085940936800676	1.0	0.043202123994998	-0.0283799387797555	0.0224601242091005	0.0310928340153919	-0.0010524442204856	-0.0097076395394451	0.018614488526704	-0.0006782986590881	0.0006782986590881	M06	6	age_DMR	age_DMR	cluster_5336	chr3	177315226	177315882	656	2	0.030072859	115	4	1	False	False	False	False
cluster_3303	0.0085939111069334	0.0046562186421689	0.0161628835424358	0.0085939111069334	1.0	0.1636922154719	0.0893663505729805	-0.0707252876604145	0.1059978579470549	-0.0035878631367283	-0.0870244270420785	0.1668701430595504	4.001512910524644e-05	4.001512910524644e-05	M02	2	age_DMR	age_DMR	cluster_3303	chr17	26553567	26554245	678	4	-0.028370305	116	4	3	True	True	True	False
cluster_6400	0.0079365451189275	-0.0702107092074957	0.0179411427315825	0.0079365451189275	1.0	0.173384895794286	-0.0206263402439811	0.0163238605782142	0.1716418138164253	-0.0058098092587941	-0.0132651395598594	0.0254360276912634	-0.0005572304614571	0.0005572304614571	M04	4	age_DMR	age_DMR	cluster_6400	chr6	36237982	36238410	428	8	0.057841086	117	3	3	False	False	False	False
cluster_4420	0.0078800653460011	-0.0665677314756475	3.734827859770695e-05	0.0078800653460011	1.0	0.0691085453995145	-0.0033052625463306	0.0026158128074338	0.0654775034019488	-0.0022163119641361	-0.0218577865984726	0.0419125077938017	-0.0005245580739631	0.0005245580739631	M06	6	age_DMR	age_DMR	cluster_4420	chr2	88366775	88367503	728	6	0.037238383	118	4	3	False	False	False	False
cluster_1976	-0.0077316862708786	0.3402798751128342	-0.268057652890612	0.0077316862708786	-1.0	0.1043539505700934	0.0982659149808772	-0.0777684784001646	-0.0176924505401862	0.0005988620177893	-0.0303403056418286	0.0581778164477244	-0.0026309372386662	0.0026309372386662	M01	1	age_DMR	age_DMR	cluster_1976	chr12	120242490	120242513	23	2	-0.025163308	119	0	1	False	False	False	False
cluster_1406	0.0074696948770885	0.3876356489536874	0.0773970307848746	0.0074696948770885	1.0	0.205350856219672	0.1774907566967608	-0.1404676899521778	-0.0631366960919873	0.0021370792662282	-0.0817298173493107	0.1567176800453503	0.0028955200211662	0.0028955200211662	M07	7	age_DMR	age_DMR	cluster_1406	chr11	62559856	62559882	26	2	-0.010845082	120	0	1	True	True	True	False
cluster_4899	0.0073274438649349	-0.0592058461303879	0.0014280683526101	0.0073274438649349	1.0	0.0760392173560602	-0.01268586317189	0.0100396996889772	0.0731129881570525	-0.0024747612839098	-0.0165988678666031	0.03182848252695	-0.0004338275139963	0.0004338275139963	M00	0	age_DMR	age_DMR	cluster_4899	chr21	22175001	22175522	521	2	0.044104691	121	4	1	False	False	False	False
cluster_7341	0.0072423769026625	0.0533580209109625	-0.0200246875776292	0.0072423769026625	1.0	0.039754484977201	0.0211639236312065	-0.0167493086295132	0.016793226271462	-0.0005684246705835	-0.0291632467967891	0.055920795234976	0.0003864388982173	0.0003864388982173	M03	3	age_DMR	age_DMR	cluster_7341	chr8	1563040	1563113	73	2	0.071478852	122	1	1	False	False	False	False
cluster_1564	-0.0071050622888113	-0.0118803064186351	0.0044728990112277	0.0071050622888113	-1.0	0.042132071983767	0.039607264727821	-0.0313455251709055	0.0066278679759061	-0.0002243430541561	0.0127454869079056	-0.0244395889289504	8.441031711456779e-05	8.441031711456779e-05	M02	2	age_DMR	age_DMR	cluster_1564	chr11	111956647	111956885	238	6	-0.013214527	123	2	3	True	True	False	False
cluster_3362	0.0069950097435394	-0.0328036529878254	-0.0091836119798556	0.0069950097435394	1.0	0.1242304693123337	0.0205876958002194	-0.0162932770377205	0.1177921647679854	-0.0039870821349765	-0.0336802940377913	0.0645822750623389	-0.0002294618722735	0.0002294618722735	M02	2	age_DMR	age_DMR	cluster_3362	chr17	39685250	39685912	662	4	-0.039116552	124	4	3	False	False	False	False
cluster_5400	0.0069035186180976	-0.0247130529902966	0.004925112854097	0.0069035186180976	1.0	0.1463521418236354	0.0964170708808699	-0.0763052875014215	0.0885326860099764	-0.0029966941472477	-0.0654573247771227	0.1255150251615265	-0.0001706070214285	0.0001706070214285	M02	2	age_DMR	age_DMR	cluster_5400	chr4	683148	683772	624	4	-0.013997351	125	4	3	False	True	True	True
cluster_3369	0.0067836463293485	-0.006036556963289	0.006036556963289	0.0067836463293485	1.0	0.1996416442994443	0.0223323463629283	-0.0176740082874958	0.1726419738308997	-0.0058436631244878	-0.0977384331585226	0.187414348797641	-4.094986748591938e-05	4.094986748591938e-05	M02	2	age_DMR	age_DMR	cluster_3369	chr17	40333521	40333758	237	3	-0.012269211	126	2	2	True	True	False	False
cluster_3978	-0.0066719968616041	0.0130203271407618	0.0356216481678801	0.0066719968616041	-1.0	0.0984477737399415	0.0205418215148025	-0.0162569717392326	0.095769080406871	-0.0032416348772049	0.0099136754650828	-0.0190095643181245	-8.687158182022156e-05	8.687158182022156e-05	M06	6	age_DMR	age_DMR	cluster_3978	chr19	18902527	18902727	200	3	-0.036936656	127	2	2	False	False	False	False
cluster_6871	0.0064412208159518	-0.0306441375549017	-0.0018046195016391	0.0064412208159518	1.0	0.0458190762110562	-0.0179114415874889	0.0141752667594202	0.0347155465947431	-0.0011750674241065	-0.0239457476333642	0.0459161923733814	-0.0001973856567055	0.0001973856567055	M02	2	age_DMR	age_DMR	cluster_6871	chr7	27225772	27226329	557	7	-0.011480476	128	4	3	False	False	False	False
cluster_1922	0.0063867158268501	0.36010347288971	0.0379169613376207	0.0063867158268501	1.0	0.069776117394918	-0.0465322783576748	0.0368260396809361	0.0518056085110545	-0.0017535395210102	0.0044308640638818	-0.0084962227888024	0.0022998785496084	0.0022998785496084	M04	4	age_DMR	age_DMR	cluster_1922	chr12	102872603	102873312	709	4	0.043206154	129	4	3	False	False	False	False
cluster_1851	-0.0059938138733272	-0.0211592517754049	0.0128259184420716	0.0059938138733272	-1.0	0.0315769196315822	0.0306453509571547	-0.0242529906167437	-0.0010658390256233	3.607699838265068e-05	0.0075384551005942	-0.0144550573194341	0.0001268246168406	0.0001268246168406	M02	2	age_DMR	age_DMR	cluster_1851	chr12	56131768	56132083	315	2	-0.015637944	130	3	1	True	True	False	False
cluster_2355	0.0058218859076673	-0.0139344190367477	0.0447358882393797	0.0058218859076673	1.0	0.1092871698881288	0.0958545212754586	-0.0758600809733394	0.0061315454429823	-0.0002075433059886	-0.0521344454625732	0.0999682809570628	-8.112459782157372e-05	8.112459782157372e-05	M11	11	age_DMR	age_DMR	cluster_2355	chr14	23525003	23525720	717	3	-0.01669596	131	4	2	True	True	True	False
cluster_900	0.0054206039368366	-0.0163121025582015	0.0163121025582015	0.0054206039368366	1.0	0.0350645489145297	0.010882142530954	-0.0086122198783851	0.0162405104392675	-0.0005497160966762	-0.0291092319580488	0.0558172212825318	-8.842144734506992e-05	8.842144734506992e-05	M02	2	age_DMR	age_DMR	cluster_900	chr10	71560212	71560231	19	2	-0.022477033	132	0	1	False	True	False	False
cluster_3416	0.0051703497683711	0.2701240751224121	-0.0145685195668566	0.0051703497683711	1.0	0.0134612146760968	-0.0010697915306132	0.0008466420890434	0.0011684749269071	-3.9551064499205626e-05	-0.0133676666992479	0.0256326244285103	0.0013966359492406	0.0013966359492406	M02	2	age_DMR	age_DMR	cluster_3416	chr17	46676215	46676375	160	2	-0.018833351	133	1	1	False	False	False	False
cluster_4028	0.0049639717947311	-0.0216908496512485	0.0009980921163857	0.0049639717947311	1.0	0.0393255204971127	-0.0343678213653073	0.0271989852639009	-0.007399400284741	0.0002504582265122	-0.0176237990341848	0.0337937975123374	-0.0001076727658725	0.0001076727658725	M02	2	age_DMR	age_DMR	cluster_4028	chr19	40005557	40005602	45	2	-0.005814663	134	0	1	False	True	False	False
cluster_5966	-0.0047669051413519	-0.006998677226548	-0.004112433884563	0.0047669051413519	-1.0	0.0438631808889066	0.0195387382509949	-0.015463123138218	0.0348350759545411	-0.0011791133075996	0.0181310184075081	-0.0347663953479785	3.336203045389446e-05	3.336203045389446e-05	M02	2	age_DMR	age_DMR	cluster_5966	chr5	140709983	140710237	254	4	-0.031586986	135	2	3	False	False	False	False
cluster_5024	-0.0045462418781285	-0.0105871557229755	0.0105871557229755	0.0045462418781285	-1.0	0.0301195209628166	0.0083423794676984	-0.0066022298532094	0.0042710560671613	-0.0001445686253954	0.0286242611767996	-0.0548872853277954	4.813177071805972e-05	4.813177071805972e-05	M02	2	age_DMR	age_DMR	cluster_5024	chr22	32598479	32598570	91	2	-0.023901857	136	1	1	False	False	False	False
cluster_123	-0.0044926365869018	-0.0417521545559357	0.0375240312134457	0.0044926365869018	-1.0	0.0884074837415877	0.0855683612805232	-0.0677195267278266	0.0095301181134427	-0.0003225797212333	-0.020077738369368	0.0384992488647891	0.0001875772571399	0.0001875772571399	M11	11	age_DMR	age_DMR	cluster_123	chr1	6519923	6520194	271	2	-0.032496993	137	2	1	False	False	False	False
cluster_7504	0.0044878001320038	-0.0796152715369717	0.0061935512819181	0.0044878001320038	1.0	0.0603916302697078	0.0034934597979482	-0.0027647537082563	0.058922344414945	-0.0019944299965154	-0.012771142232385	0.0244887832507246	-0.0003572974261131	0.0003572974261131	M00	0	age_DMR	age_DMR	cluster_7504	chr8	53080905	53081140	235	2	0.072558145	138	2	1	False	False	False	False
cluster_5252	0.0044561738151872	-0.1191410546992529	0.0969188324770307	0.0044561738151872	1.0	0.0832425257640751	-0.0792624673768196	0.0627289888191394	-0.0117490565220838	0.000397687345795	0.0225552439969555	-0.0432498888007059	-0.0005309132482646	0.0005309132482646	M15	15	age_DMR	age_DMR	cluster_5252	chr3	114036607	114036631	24	2	0.01909685	139	0	1	False	False	False	False
